i,t_i,y_i
0,0.0,1.0
1,0.2,1.0
2,0.4,1.00794677
3,0.6,1.02396516
4,0.8,1.04805074
5,1.0,1.08004579
6,1.2,1.11960071
7,1.4,1.1661252
8,1.6,1.21873652
9,1.8,1.27621465
10,2.0,1.33697678
11,2.2,1.39908423
12,2.4,1.46029378
13,2.6,1.51816052
14,2.8,1.57019149
15,3.0,1.61403897
16,3.2,1.64771146
17,3.4,1.66977257
18,3.6,1.67949565
19,3.8,1.67694703
20,4.0,1.66298278
21,4.2,1.63916011
22,4.4,1.60758042
23,4.6,1.57069256
24,4.8,1.53108894
25,5.0,1.49132383
26,5.2,1.45377412
27,5.4,1.42055134
28,5.6,1.39346333
29,5.8,1.37401599
30,6.0,1.3634418
31,6.2,1.3627408
32,6.4,1.37272126
33,6.6,1.39402969
34,6.8,1.42716279
35,7.0,1.47245651
36,7.2,1.53005014
37,7.4,1.59982621
38,7.6,1.68133033
39,7.8,1.77367925
40,8.0,1.87547024
41,8.2,1.98470953
42,8.4,2.09878099
43,8.6,2.21447687
44,8.8,2.32810816
45,9.0,2.43570251
46,9.2,2.53328253
47,9.4,2.61719956
48,9.6,2.68448123
49,9.8,2.7331414
50,10.0,2.76240148
51,10.2,2.77278535
52,10.4,2.76607267
53,10.6,2.74512245
54,10.8,2.71360209
55,11.0,2.67567135
56,11.2,2.6356724
57,11.4,2.59786763
58,11.6,2.56625058
59,11.8,2.54443723
60,12.0,2.53562948
61,12.2,2.54263265
62,12.4,2.56790414
63,12.6,2.61361008
64,12.8,2.68166958
65,13.0,2.77376968
66,13.2,2.89133833
67,13.4,3.03546726
68,13.6,3.20678142
69,13.8,3.40525844
70,14.0,3.63000988
71,14.2,3.87904685
72,14.4,4.14906441
73,14.6,4.43529004
74,14.8,4.73144798
75,15.0,5.02988885
76,15.2,5.32191943
77,15.4,5.59833919
78,15.6,5.85015113
79,15.8,6.06937218
80,16.0,6.24983439
81,16.2,6.38785384
82,16.4,6.48265749
83,16.6,6.53649871
84,16.8,6.55445076
85,17.0,6.54392821
86,17.2,6.51403269
87,17.4,6.47484041
88,17.6,6.43674158
89,17.8,6.40991257
90,18.0,6.40396147
91,18.2,6.42774819
92,18.4,6.48934959
93,18.6,6.59612164
94,18.8,6.75480377
95,19.0,6.97161178
96,19.2,7.25227168
97,19.4,7.60195507
98,19.6,8.02508617
99,19.8,8.52500229
100,20.0,9.1034652
